ID,item_cnt_month
0,0.46973914
1,0.17689571
2,0.72566193
3,0.48191157
4,1.6864401
5,0.64592135
6,0.54233414
7,0.13876215
8,0.592127
9,0.5252015
10,2.1002772
11,0.16256934
12,0.13876215
13,0.6014824
14,1.3361653
15,2.632308
16,0.078816175
17,0.15576103
18,0.9658158
19,0.41991502
20,0.37284055
21,0.31399414
22,1.6473591
23,0.371824
24,1.5822248
25,0.34395522
26,0.0
27,0.642509
28,1.1863651
29,6.126902
30,0.88668954
31,0.16228819
32,0.9319515
33,0.76732874
34,0.060626566
35,0.07253724
36,0.07253724
37,0.96751964
38,0.19305682
39,0.079707265
40,0.8264859
41,1.1998113
42,3.3402689
43,3.421652
44,1.0758827
45,0.14462933
46,1.0687578
47,0.2386953
48,0.42778897
49,0.6503359
50,0.9338082
51,0.39180052
52,0.47844484
53,0.23045823
54,4.696102
55,3.17933
56,1.3134431
57,1.4022967
58,4.113616
59,3.7224793
60,4.3369694
61,0.20308149
62,0.13908613
63,0.3875553
64,1.2184315
65,0.18388268
66,0.53500706
67,0.060626566
68,0.6147264
69,0.060626566
70,0.18388268
71,1.2415566
72,0.1786913
73,0.6283649
74,1.4355745
75,2.876626
76,0.32709113
77,1.2184315
78,0.46949404
79,0.7530618
80,0.96594155
81,1.9786035
82,1.1564791
83,0.17230368
84,0.50055337
85,0.8607725
86,0.5083378
87,0.058703512
88,2.546669
89,1.1113499
90,0.8161707
91,0.62900645
92,1.9296343
93,0.07055712
94,0.6075792
95,0.070794195
96,0.07253724
97,0.3073671
98,0.7175747
99,1.4605489
100,0.86568695
101,0.9274758
102,0.23543498
103,1.0842254
104,0.07253724
105,0.43375516
106,0.25627545
107,0.80502236
108,0.13876215
109,0.17689571
110,0.28245637
111,0.54245615
112,0.23665452
113,0.5045925
114,0.102654874
115,0.28413767
116,0.29063135
117,0.08567926
118,7.707237
119,0.0665226
120,0.0665226
121,0.078038335
122,0.3589103
123,0.35939375
124,0.41074902
125,0.8849509
126,0.306238
127,0.12244028
128,0.2797752
129,0.3106012
130,0.51984406
131,0.05077517
132,0.99245405
133,4.0410357
134,0.0665226
135,1.5461797
136,0.53351134
137,0.40876934
138,2.975877
139,0.7989266
140,0.24880803
141,0.41869584
142,0.104299575
143,0.4864681
144,0.18304256
145,0.18304256
146,0.18304256
147,0.07416353
148,0.21530893
149,0.08838466
150,0.08838466
151,0.40713415
152,4.4811125
153,0.38754976
154,0.11133149
155,0.12244028
156,0.17846581
157,0.2946887
158,0.120434195
159,0.17961189
160,0.92855656
161,0.28540644
162,0.4452132
163,1.0739601
164,0.4253255
165,0.111786395
166,0.4176528
167,0.058703512
168,0.21530893
169,0.13876215
170,0.28540644
171,0.5410689
172,0.14636278
173,1.547798
174,1.2783582
175,3.2023
176,1.4762824
177,0.23027965
178,0.30339748
179,0.1509549
180,1.6503583
181,0.19767985
182,0.19989663
183,0.17846581
184,0.14913973
185,0.23027965
186,0.13876215
187,0.11581531
188,0.21530893
189,0.21530893
190,0.41991502
191,0.9295746
192,0.8219645
193,0.11207062
194,0.2709595
195,0.09952566
196,0.61729544
197,2.2270496
198,1.1489139
199,1.6864401
200,0.106752455
201,1.6864401
202,0.06343639
203,0.88672817
204,0.08427259
205,0.055137247
206,0.055137247
207,0.0
208,1.8510935
209,0.52513885
210,0.098062485
211,0.08665037
212,0.058703512
213,0.28961822
214,0.060626566
215,0.08052957
216,0.20308149
217,0.0
218,1.1080501
219,0.46978474
220,0.20001122
221,0.8456515
222,1.6864401
223,0.551126
224,2.5907726
225,0.2404179
226,0.605496
227,0.08427259
228,0.28182214
229,0.13834158
230,1.0627946
231,0.68453765
232,0.04835522
233,0.15166488
234,0.04835522
235,0.0602659
236,0.46429956
237,0.7546681
238,0.21567231
239,0.20079684
240,0.46302912
241,0.09816611
242,0.07253724
243,1.0627946
244,0.17689571
245,0.2916112
246,2.0095792
247,0.64018285
248,0.43648744
249,0.07253724
250,0.5480361
251,0.21948624
252,0.40994257
253,0.88383365
254,0.5011163
255,3.4956176
256,0.48057747
257,0.19191265
258,0.39789358
259,0.18525824
260,0.1304538
261,0.11581531
262,0.26983765
263,0.048022598
264,0.12724641
265,0.5893107
266,0.08567926
267,0.29767337
268,0.48057747
269,0.27285036
270,1.769124
271,0.1509549
272,0.120434195
273,2.4713287
274,14.382224
275,0.08684412
276,0.17252648
277,0.9076416
278,0.35214412
279,0.545076
280,0.1427759
281,0.077147245
282,0.06038913
283,0.47482732
284,0.435363
285,0.17742404
286,0.09818739
287,0.8862636
288,0.15977484
289,0.19503218
290,0.046732873
291,0.079707265
292,0.4428332
293,0.070735455
294,0.58182895
295,1.0198864
296,0.34510463
297,0.17846581
298,0.23027965
299,0.2797752
300,0.1509549
301,0.67140436
302,1.0553222
303,0.49403563
304,0.072734684
305,0.070328504
306,0.22351164
307,0.21412215
308,0.22015315
309,0.8853263
310,0.48057747
311,0.46885476
312,0.6350828
313,0.2740028
314,0.090169966
315,1.0663437
316,0.20199165
317,2.0789075
318,0.07119036
319,0.16379476
320,0.2946887
321,0.058703512
322,0.81185764
323,0.11581531
324,0.4719697
325,0.5420933
326,0.17819956
327,0.09139639
328,0.16083923
329,0.17252648
330,0.24049148
331,0.18304256
332,0.11819869
333,0.23255107
334,0.5590055
335,0.21933305
336,0.3703892
337,0.64931035
338,0.17252648
339,0.6536356
340,0.09816611
341,0.07334623
342,0.23027965
343,0.8700414
344,0.13876215
345,0.07119036
346,4.1133337
347,3.038436
348,0.059219718
349,0.38343996
350,0.4274168
351,0.67473555
352,0.19117644
353,0.17616159
354,0.19310564
355,0.15632424
356,0.60786474
357,1.1434197
358,0.27772236
359,0.5893107
360,0.68119955
361,4.2028747
362,0.8454554
363,1.8533674
364,0.68688774
365,0.6576307
366,0.23027965
367,0.05077517
368,0.08268443
369,0.3707888
370,0.18304256
371,1.0501022
372,1.0759718
373,0.331291
374,1.6666132
375,2.907435
376,0.67654896
377,0.17575511
378,0.39789358
379,0.24049148
380,3.3787591
381,0.5420766
382,0.5420766
383,0.24974027
384,2.016232
385,0.17961189
386,0.4904346
387,0.48337388
388,0.16379476
389,0.058703512
390,0.15154675
391,0.3957814
392,0.1269866
393,0.7490502
394,0.21530893
395,0.049573928
396,2.1763968
397,0.64975345
398,0.07253724
399,0.18886065
400,0.25627545
401,0.30189633
402,2.4270725
403,3.716119
404,0.8999637
405,0.07253724
406,0.41991502
407,0.06621188
408,0.16727677
409,2.424343
410,0.1509259
411,1.5854182
412,0.41991502
413,0.54012764
414,0.07253724
415,3.231606
416,0.23533463
417,2.424343
418,0.76614845
419,0.1509259
420,0.44603223
421,1.5941174
422,0.22348273
423,0.73211956
424,0.17632481
425,0.16472083
426,2.424343
427,0.4111915
428,0.76478344
429,0.23798281
430,0.8173988
431,0.65652806
432,0.058703512
433,0.15441185
434,0.060626566
435,0.8737041
436,0.058703512
437,0.6783239
438,0.3494196
439,0.4244444
440,0.094203144
441,0.15809476
442,0.5193835
443,0.094203144
444,0.40994257
445,0.7105634
446,0.19563621
447,0.19563621
448,0.2192921
449,0.4139378
450,0.18270561
451,0.09935799
452,0.11162934
453,0.2128604
454,0.40492266
455,0.09935799
456,0.5083378
457,0.0558286
458,1.5404174
459,0.87235343
460,20.0
461,0.780447
462,0.51312286
463,0.31367743
464,0.78519917
465,0.837843
466,0.19989663
467,0.23027965
468,0.19583929
469,0.14747289
470,0.97209203
471,0.13984612
472,0.10622805
473,0.047250748
474,0.8581312
475,1.0786096
476,0.053872526
477,0.22268808
478,0.009768575
479,0.16863054
480,0.18304256
481,0.18304256
482,0.14792684
483,0.35214412
484,0.66634053
485,0.5140951
486,0.63693845
487,0.3184709
488,0.24216041
489,2.910039
490,0.30311313
491,0.18304256
492,0.85001016
493,0.08221868
494,0.48422822
495,0.21497679
496,0.090103954
497,1.7945001
498,4.018003
499,0.50575936
500,1.7945001
501,0.4467917
